imsi,imei,plan,status,bytes_used,period_reset_ts,home_plmn,flags
310260100000023,350000007140375,dev-pro,ACTIVE,138059921026,1789603200,310-260,roaming|volte
310260100000024,350000005627217,dev-basic,ACTIVE,9306888432,1789344000,310-260,
310260100000025,350000009676095,dev-basic,ACTIVE,845791309,1787875200,310-260,volte
262010100000001,353333333461703,dev-basic,ACTIVE,9745552951,1788825600,262-01,volte
310260100000026,350000000198032,dev-basic,ACTIVE,726126702,1790121600,310-260,tethering|volte
262010100000002,353333333105474,dev-basic,ACTIVE,5254128001,1788566400,262-01,roaming|tethering
262010100000003,353333330039403,mvno-prepaid,ACTIVE,1872675806,1789689600,262-01,roaming|tethering
310410100000007,351111116065053,dev-basic,ACTIVE,5355427002,1790121600,310-410,roaming
310260100000027,350000008414654,iot-low-power,ACTIVE,423971601,1788825600,310-260,roaming|tethering
310260100000028,350000006973685,dev-basic,ACTIVE,25967705662,1788739200,310-260,tethering
310260100000029,350000005535493,dev-basic,ACTIVE,7471564101,1788134400,310-260,tethering|test
310260100000030,350000006883116,mvno-prepaid,ACTIVE,2701193670,1788652800,310-260,
310260100000031,350000008402402,iot-low-power,ACTIVE,2114882,1789257600,310-260,roaming|tethering|volte
310260100000032,350000002935118,mvno-prepaid,ACTIVE,279632328,1788566400,310-260,volte
310260100000033,350000009727856,dev-basic,ACTIVE,3782527368,1789344000,310-260,roaming|tethering|volte
310410100000008,351111113591838,iot-low-power,ACTIVE,251111787,1789084800,310-410,roaming|tethering
310260100000034,350000008603678,iot-low-power,ACTIVE,242677287,1787961600,310-260,roaming|volte
310410100000009,351111115262230,dev-basic,ACTIVE,10001468046,1788739200,310-410,roaming|tethering
310260100000035,350000000440038,dev-pro,ACTIVE,71740748495,1788307200,310-260,
310260100000036,350000009269289,dev-basic,ACTIVE,3541459769,1789344000,310-260,roaming
310260100000037,350000007013549,dev-basic,ACTIVE,13651332893,1788307200,310-260,volte
310410100000010,351111118440981,dev-basic,ACTIVE,3766304590,1790380800,310-410,roaming|volte
234150100000006,352222223551668,dev-basic,ACTIVE,12517654626,1789084800,234-15,roaming|volte
310260100000038,350000001892815,iot-low-power,ACTIVE,26492252,1790294400,310-260,
310410100000011,351111117414870,dev-pro,ACTIVE,113820440764,1789516800,310-410,
310410100000012,351111112143631,enterprise-fixed,ACTIVE,275715111868,1790035200,310-410,roaming
310260100000039,350000003878267,dev-basic,ACTIVE,8819908734,1790035200,310-260,roaming|volte
310260100000040,350000007733542,mvno-prepaid,ACTIVE,1619150967,1790208000,310-260,roaming
310260100000041,350000001718176,dev-pro,ACTIVE,39974975066,1788393600,310-260,roaming
234150100000007,352222227578402,dev-pro,ACTIVE,128459657075,1788912000,234-15,roaming
310260100000042,350000003468366,dev-basic,ACTIVE,8416491421,1790208000,310-260,roaming|volte
310410100000013,351111117868679,dev-basic,ACTIVE,7933865885,1788480000,310-410,roaming|tethering
310410100000014,351111115433682,iot-low-power,ACTIVE,131636808,1789862400,310-410,roaming|volte
310410100000015,351111114208879,dev-pro,ACTIVE,146326666709,1788825600,310-410,volte
310260100000043,350000006699843,dev-pro,ACTIVE,85877815640,1788825600,310-260,volte
208010100000004,354444442642726,dev-basic,ACTIVE,13969216999,1790380800,208-01,roaming|tethering|volte
208010100000005,354444447153471,enterprise-fixed,ACTIVE,321022420605,1788566400,208-01,roaming|tethering|volte
310260100000044,350000009032331,dev-basic,ACTIVE,6740368856,1788652800,310-260,roaming|tethering|volte
310260100000045,350000008716058,iot-low-power,ACTIVE,181108795,1790380800,310-260,roaming|tethering
310410100000016,351111118517655,dev-pro,ACTIVE,212311087508,1790035200,310-410,roaming|tethering
310260100000046,350000009541547,iot-low-power,ACTIVE,37617613,1790380800,310-260,roaming|tethering|volte
310410100000017,351111119772317,dev-basic,ACTIVE,8616256652,1789344000,310-410,roaming
234150100000008,352222226684540,enterprise-fixed,ACTIVE,145803222993,1788739200,234-15,roaming|tethering|volte
310260100000047,350000008008167,iot-low-power,ACTIVE,104999010,1788825600,310-260,roaming|volte
310410100000018,351111110572518,dev-basic,ACTIVE,10615839466,1789171200,310-410,roaming|tethering|volte
310260100000048,350000006999318,dev-pro,ACTIVE,113075779125,1789171200,310-260,roaming
310260100000049,350000000244257,iot-low-power,ACTIVE,28161846,1790208000,310-260,roaming
208010100000006,354444440904912,iot-low-power,ACTIVE,170805690,1789084800,208-01,
310260100000050,350000000192795,iot-low-power,ACTIVE,152432287,1789776000,310-260,volte
310260100000051,350000008713352,iot-low-power,ACTIVE,376757955,1788739200,310-260,roaming|tethering|volte
310260100000052,350000002339410,dev-basic,ACTIVE,2218203846,1788307200,310-260,roaming|tethering|volte
310260100000053,350000003315732,mvno-prepaid,ACTIVE,657172224,1790035200,310-260,roaming
310260100000054,350000009676533,dev-pro,ACTIVE,121782451286,1788912000,310-260,roaming|tethering|volte
310260100000055,350000009240371,dev-basic,ACTIVE,2472658211,1789862400,310-260,roaming|volte
310260100000056,350000002805725,dev-pro,ACTIVE,66785888356,1789257600,310-260,roaming|volte
310260100000057,350000009730843,dev-pro,ACTIVE,40140976699,1788134400,310-260,roaming|volte
310260100000058,350000009157898,dev-basic,ACTIVE,794869047,1789603200,310-260,roaming
208010100000007,354444448215303,dev-pro,ACTIVE,198897385539,1790035200,208-01,volte
310260100000059,350000009456118,dev-basic,ACTIVE,2838805821,1789084800,310-260,roaming
310260100000060,350000007995430,dev-basic,ACTIVE,3572352189,1789948800,310-260,roaming|tethering|volte
310260100000061,350000003206774,iot-low-power,ACTIVE,136741138,1790380800,310-260,roaming
310410100000019,351111115721565,dev-basic,ACTIVE,3601170212,1787961600,310-410,roaming|volte
310260100000062,350000006495945,iot-low-power,ACTIVE,431561407,1787875200,310-260,roaming|tethering
310410100000020,351111116026030,dev-pro,ACTIVE,50360135266,1788998400,310-410,roaming|tethering
310260100000063,350000000178208,dev-basic,ACTIVE,5133415515,1788998400,310-260,roaming|tethering
310410100000021,351111118258482,dev-basic,ACTIVE,1348329380,1788825600,310-410,roaming
310260100000064,350000000067559,mvno-prepaid,ACTIVE,317741463,1788480000,310-260,roaming
310260100000065,350000004231904,enterprise-fixed,ACTIVE,70253128577,1790294400,310-260,roaming|volte
310410100000022,351111115568321,iot-low-power,ACTIVE,122210852,1788307200,310-410,roaming|volte
310410100000023,351111113614390,iot-low-power,ACTIVE,438585268,1789084800,310-410,roaming
310260100000066,350000000902383,dev-pro,ACTIVE,146761412272,1788739200,310-260,roaming|volte
208010100000008,354444443129939,dev-pro,ACTIVE,153119251331,1789171200,208-01,roaming|tethering
310410100000024,351111116239369,dev-basic,ACTIVE,2367379097,1789948800,310-410,roaming
310260100000067,350000006227579,dev-basic,ACTIVE,4403240230,1788652800,310-260,roaming|volte
234150100000009,352222225429400,iot-low-power,ACTIVE,176294110,1788652800,234-15,roaming|tethering|volte
310260100000068,350000005962903,mvno-prepaid,ACTIVE,101962703,1788480000,310-260,roaming|volte
310260100000069,350000008714822,iot-low-power,ACTIVE,179489818,1788307200,310-260,roaming
310260100000070,350000006222018,dev-pro,ACTIVE,60997320440,1788652800,310-260,roaming|volte
310410100000025,351111114962640,iot-low-power,ACTIVE,15543858,1787961600,310-410,roaming|volte
310260100000071,350000009228285,iot-low-power,ACTIVE,335939752,1788739200,310-260,roaming|tethering|volte
234150100000010,352222226958415,dev-basic,ACTIVE,2798452046,1788393600,234-15,roaming|tethering
310260100000072,350000004999682,enterprise-fixed,ACTIVE,419444772416,1788652800,310-260,roaming
310260100000073,350000008554020,iot-low-power,ACTIVE,224860800,1789171200,310-260,roaming|volte
310260100000074,350000001297692,dev-basic,ACTIVE,4940621686,1788566400,310-260,roaming|volte
310260100000075,350000004888745,dev-basic,ACTIVE,10836314551,1790035200,310-260,roaming|volte
310260100000076,350000007124999,dev-basic,ACTIVE,1600617682,1789689600,310-260,tethering|volte
262010100000004,353333332334620,dev-pro,ACTIVE,230532247809,1788739200,262-01,volte
310410100000026,351111119193613,dev-basic,ACTIVE,13535520802,1790121600,310-410,
310260100000077,350000004858698,mvno-prepaid,ACTIVE,842331198,1789516800,310-260,roaming|tethering
310260100000078,350000007651900,dev-basic,ACTIVE,2978453617,1789603200,310-260,roaming|volte
310410100000027,351111112642178,dev-basic,ACTIVE,7682015347,1788048000,310-410,
234150100000011,352222221115326,dev-pro,ACTIVE,195199904185,1788825600,234-15,roaming|volte
310260100000079,350000001561055,dev-basic,ACTIVE,9220572309,1788307200,310-260,roaming|tethering
310260100000080,350000007230283,dev-basic,ACTIVE,6398504171,1789948800,310-260,roaming|tethering|volte
310410100000028,351111113894562,mvno-prepaid,ACTIVE,1290868364,1789603200,310-410,roaming
310260100000081,350000002391148,dev-basic,ACTIVE,5409993701,1790208000,310-260,roaming|tethering
310260100000082,350000000938759,iot-low-power,ACTIVE,230736258,1789516800,310-260,roaming|volte
310260100000083,350000005055625,iot-low-power,ACTIVE,124638118,1789948800,310-260,roaming|tethering|volte
310260100000084,350000009362654,mvno-prepaid,ACTIVE,608638195,1788220800,310-260,roaming
310410100000029,351111111607776,dev-basic,ACTIVE,3962687455,1790294400,310-410,roaming|tethering|volte
208010100000009,354444447156185,enterprise-fixed,ACTIVE,8602252037,1788134400,208-01,tethering
262010100000005,353333336188915,iot-low-power,ACTIVE,287279518,1790294400,262-01,roaming|tethering
310260100000085,350000005608555,iot-low-power,ACTIVE,450978894,1788998400,310-260,roaming|tethering|volte
310260100000086,350000005371196,iot-low-power,ACTIVE,103148052,1790121600,310-260,
310260100000087,350000005268210,dev-basic,ACTIVE,4932039496,1788825600,310-260,roaming|tethering
310410100000030,351111117060392,dev-basic,ACTIVE,7803781453,1788912000,310-410,roaming|tethering|volte
310260100000088,350000002264931,dev-basic,ACTIVE,1031236689,1789603200,310-260,roaming|volte
208010100000010,354444440509844,mvno-prepaid,ACTIVE,2827915591,1789257600,208-01,roaming|volte
310410100000031,351111110189487,mvno-prepaid,ACTIVE,362018567,1790294400,310-410,roaming|volte
310260100000089,350000005833377,dev-basic,ACTIVE,2208906593,1788134400,310-260,roaming|tethering
310410100000032,351111119871754,dev-basic,ACTIVE,6560699000,1789257600,310-410,roaming|volte
310260100000090,350000002308381,iot-low-power,ACTIVE,103831731,1788220800,310-260,roaming
310260100000091,350000003507395,dev-pro,ACTIVE,58080843515,1788998400,310-260,roaming|tethering|volte
310260100000092,350000004929044,enterprise-fixed,ACTIVE,482273625928,1788912000,310-260,roaming|volte
310260100000093,350000008229185,dev-pro,ACTIVE,182915724907,1789344000,310-260,roaming|tethering
310260100000094,350000001138359,dev-basic,ACTIVE,6836226421,1788393600,310-260,roaming|tethering|volte
310260100000095,350000006154294,dev-pro,ACTIVE,35179658730,1790380800,310-260,roaming|tethering|volte
310260100000096,350000008293199,iot-low-power,ACTIVE,357065219,1788480000,310-260,roaming
310260100000097,350000003418569,dev-basic,ACTIVE,22116663408,1790035200,310-260,roaming|tethering|volte
310260100000098,350000006861955,dev-basic,ACTIVE,12086285653,1787961600,310-260,roaming|tethering|volte
234150100000012,352222225285497,dev-pro,ACTIVE,160485845560,1790208000,234-15,roaming|volte
262010100000006,353333339374546,dev-pro,ACTIVE,38515141423,1790121600,262-01,roaming|volte
310260100000099,350000005610908,dev-basic,ACTIVE,5313408916,1790035200,310-260,
310260100000100,350000001947874,dev-basic,ACTIVE,3062302725,1790121600,310-260,roaming|volte
310410100000033,351111111579967,dev-basic,ACTIVE,15663188341,1790380800,310-410,roaming|volte
310260100000101,350000004305401,dev-basic,ACTIVE,8783058600,1788825600,310-260,roaming|tethering|volte
310260100000102,350000002338966,iot-low-power,ACTIVE,139003964,1788912000,310-260,roaming|volte
310260100000103,350000003862352,dev-basic,ACTIVE,7998688934,1790121600,310-260,roaming
310260100000104,350000004880122,enterprise-fixed,ACTIVE,1762641664,1789257600,310-260,roaming|volte
310260100000105,350000008790897,dev-pro,ACTIVE,200302296482,1788393600,310-260,roaming|tethering|volte
310260100000106,350000002742092,dev-basic,ACTIVE,18024109229,1789430400,310-260,roaming|tethering
310410100000034,351111111406666,dev-pro,ACTIVE,28833139419,1788566400,310-410,volte
310260100000107,350000000385407,iot-low-power,ACTIVE,300076659,1789948800,310-260,roaming|volte
208010100000011,354444440619999,dev-basic,ACTIVE,13766219558,1789516800,208-01,roaming|volte
262010100000007,353333334222351,dev-basic,ACTIVE,3091333988,1789171200,262-01,roaming|tethering
310260100000108,350000004803504,dev-basic,ACTIVE,3347820543,1787875200,310-260,roaming|volte
310260100000109,350000001993134,dev-basic,ACTIVE,13662809347,1789689600,310-260,roaming
310260100000110,350000000729828,iot-low-power,ACTIVE,215548384,1788048000,310-260,roaming|tethering|volte
208010100000012,354444445964085,dev-basic,ACTIVE,6672266835,1788998400,208-01,roaming|volte
310260100000111,350000000289211,dev-basic,ACTIVE,7571647269,1790035200,310-260,tethering|volte
310260100000112,350000009271202,dev-basic,ACTIVE,10319093992,1789084800,310-260,roaming|volte
234150100000013,352222226716888,dev-basic,ACTIVE,13620470439,1789862400,234-15,roaming|tethering
310410100000035,351111119210227,iot-low-power,ACTIVE,384564180,1789516800,310-410,roaming|volte
234150100000014,352222220157212,dev-basic,ACTIVE,8274488771,1789257600,234-15,roaming|tethering
310260100000113,350000000008710,enterprise-fixed,ACTIVE,192112656561,1790121600,310-260,roaming|volte
310260100000114,350000005773193,iot-low-power,ACTIVE,8104044,1789257600,310-260,roaming|tethering
208010100000013,354444440459552,dev-basic,ACTIVE,1342315613,1788998400,208-01,roaming
310260100000115,350000006349993,iot-low-power,ACTIVE,312232916,1789344000,310-260,roaming|tethering|volte|test
310260100000116,350000005428459,dev-pro,ACTIVE,92624928346,1789171200,310-260,roaming|volte
310260100000117,350000001163019,dev-basic,ACTIVE,890585453,1789603200,310-260,roaming|volte
310260100000118,350000009680972,dev-basic,ACTIVE,18333685246,1789948800,310-260,roaming|tethering|volte
310260100000119,350000006409078,dev-basic,ACTIVE,19162287547,1788739200,310-260,tethering|volte
310260100000120,350000007081355,dev-basic,ACTIVE,4068483566,1789257600,310-260,roaming
310260100000121,350000009599719,dev-basic,ACTIVE,10751210692,1790294400,310-260,roaming|volte
234150100000015,352222227120916,dev-basic,ACTIVE,8498974961,1789776000,234-15,roaming|volte
310260100000122,350000001576392,dev-basic,ACTIVE,19098918247,1788220800,310-260,roaming|tethering|volte
310260100000123,350000003243710,dev-basic,ACTIVE,5459938284,1788480000,310-260,volte
310260100000124,350000000036679,iot-low-power,ACTIVE,252202954,1788480000,310-260,roaming|volte
310410100000036,351111118940337,dev-pro,ACTIVE,98560309156,1788652800,310-410,roaming
310260100000125,350000003168990,dev-basic,ACTIVE,13531207766,1788998400,310-260,roaming
310260100000126,350000000804407,dev-pro,ACTIVE,3699628526,1788480000,310-260,roaming|volte
310260100000127,350000005031170,iot-low-power,ACTIVE,203488499,1788998400,310-260,roaming|test
310260100000128,350000007190081,dev-basic,ACTIVE,11135673008,1788566400,310-260,volte
310410100000037,351111110297595,dev-pro,ACTIVE,91346863486,1788998400,310-410,roaming|tethering|volte
310260100000129,350000006576777,dev-basic,ACTIVE,3408863867,1789084800,310-260,roaming
310410100000038,351111114571169,dev-pro,ACTIVE,41672188406,1790121600,310-410,roaming|volte
310260100000130,350000001930417,dev-pro,ACTIVE,39978475645,1789516800,310-260,roaming|volte
310260100000131,350000006635961,dev-basic,SUSPENDED,4384950489,1788307200,310-260,roaming|tethering|volte
234150100000016,352222225843469,dev-basic,ACTIVE,13173095429,1789171200,234-15,roaming|volte
310260100000132,350000006973024,dev-pro,ACTIVE,92032662883,1789776000,310-260,roaming|volte
262010100000008,353333337624025,dev-basic,ACTIVE,2206119898,1788998400,262-01,roaming|tethering
310260100000133,350000009087913,iot-low-power,ACTIVE,149693995,1788652800,310-260,tethering|volte
310260100000134,350000000545489,dev-pro,ACTIVE,55329930397,1789603200,310-260,roaming|tethering|volte
262010100000009,353333334806732,dev-basic,ACTIVE,12408893319,1790294400,262-01,volte
310260100000135,350000002218739,iot-low-power,ACTIVE,131936617,1790035200,310-260,roaming|volte
208010100000014,354444445022629,mvno-prepaid,ACTIVE,1610649584,1789084800,208-01,roaming
310260100000136,350000008244192,iot-low-power,ACTIVE,54083930,1788652800,310-260,roaming
310260100000137,350000002062632,iot-low-power,ACTIVE,32342494,1788048000,310-260,roaming|volte
310410100000039,351111113150601,dev-basic,ACTIVE,15286427107,1787961600,310-410,roaming
310260100000138,350000005855701,dev-basic,ACTIVE,16899597565,1788134400,310-260,roaming|volte
310260100000139,350000000860193,dev-basic,SUSPENDED,7593475911,1789862400,310-260,roaming|tethering|volte
310410100000040,351111114389638,dev-pro,ACTIVE,10521246105,1789862400,310-410,roaming|tethering
310260100000140,350000001813498,dev-basic,ACTIVE,2219367335,1788566400,310-260,roaming|tethering|volte
234150100000017,352222225857618,dev-basic,ACTIVE,16338858597,1788048000,234-15,roaming|volte
234150100000018,352222223393905,dev-basic,ACTIVE,6780265298,1789430400,234-15,roaming|tethering
310410100000041,351111118674043,iot-low-power,ACTIVE,165649323,1789948800,310-410,roaming|tethering
234150100000019,352222223366067,dev-basic,ACTIVE,14568167447,1789862400,234-15,roaming|volte
310260100000141,350000006544189,mvno-prepaid,ACTIVE,4180499166,1788912000,310-260,roaming|tethering|volte
234150100000020,352222221646023,dev-basic,ACTIVE,14571328897,1789171200,234-15,roaming|volte
208010100000015,354444448184160,enterprise-fixed,ACTIVE,488047205978,1789689600,208-01,volte
310260100000142,350000007073147,dev-basic,ACTIVE,12698255908,1789516800,310-260,roaming|volte
310410100000042,351111114373079,dev-basic,ACTIVE,13401307957,1788739200,310-410,roaming
310260100000143,350000006652578,iot-low-power,ACTIVE,360274567,1788739200,310-260,roaming|volte
310410100000043,351111113392260,dev-basic,ACTIVE,9089685479,1789689600,310-410,roaming
310260100000144,350000001712898,dev-pro,ACTIVE,61677762451,1789862400,310-260,
310410100000044,351111116848698,dev-pro,ACTIVE,99900136123,1789084800,310-410,roaming|tethering
310410100000045,351111118077478,dev-basic,ACTIVE,5026775339,1788307200,310-410,roaming|tethering
310260100000145,350000003939135,dev-pro,ACTIVE,198355800546,1788566400,310-260,volte
310260100000146,350000008808475,dev-pro,ACTIVE,73807687849,1788912000,310-260,roaming|volte
310260100000147,350000008064186,dev-basic,ACTIVE,19466271733,1789257600,310-260,roaming|tethering|volte
310260100000148,350000008690386,dev-basic,ACTIVE,6955277124,1789948800,310-260,roaming
234150100000021,352222222963542,dev-pro,ACTIVE,14048310269,1788998400,234-15,roaming|tethering
310260100000149,350000005595984,iot-low-power,ACTIVE,92192913,1789862400,310-260,roaming|tethering
310260100000150,350000009841368,dev-basic,ACTIVE,7311312288,1788739200,310-260,roaming|tethering
310260100000151,350000004394686,dev-basic,ACTIVE,10483970446,1788566400,310-260,roaming|tethering
310260100000152,350000007104256,dev-basic,ACTIVE,6981850923,1788566400,310-260,roaming|tethering|volte
310410100000046,351111112725387,dev-pro,ACTIVE,114820439740,1788739200,310-410,roaming|volte
310260100000153,350000004538571,mvno-prepaid,ACTIVE,4224059214,1789948800,310-260,roaming|tethering|volte
310260100000154,350000006993634,iot-low-power,ACTIVE,167566030,1789603200,310-260,roaming
310260100000155,350000006015149,dev-basic,ACTIVE,2524942055,1789948800,310-260,volte
310260100000156,350000000574125,iot-low-power,ACTIVE,282690756,1788480000,310-260,tethering|volte
310260100000157,350000001421300,enterprise-fixed,ACTIVE,62222752269,1789776000,310-260,volte
310410100000047,351111116307794,iot-low-power,SUSPENDED,51607141,1788739200,310-410,roaming|tethering|volte
262010100000010,353333333011672,dev-basic,ACTIVE,8506679406,1789084800,262-01,roaming
310260100000158,350000004947343,mvno-prepaid,ACTIVE,858466602,1790294400,310-260,roaming|volte
310260100000159,350000002064380,dev-pro,ACTIVE,68960234286,1788739200,310-260,roaming|volte
310410100000048,351111112415898,iot-low-power,ACTIVE,27812357,1790208000,310-410,volte
310260100000160,350000002388441,dev-basic,ACTIVE,6002807855,1789084800,310-260,roaming|volte
310260100000161,350000001116454,dev-basic,ACTIVE,15446716169,1788307200,310-260,roaming|tethering|volte
310260100000162,350000005494246,mvno-prepaid,ACTIVE,3270414473,1788825600,310-260,roaming|tethering|volte
310260100000163,350000002983035,dev-pro,ACTIVE,130904390266,1788220800,310-260,volte
310410100000049,351111119412286,dev-pro,ACTIVE,190717092236,1790208000,310-410,roaming|volte
310410100000050,351111119082410,dev-basic,ACTIVE,8665868040,1789862400,310-410,roaming|tethering
310260100000164,350000008850436,dev-basic,ACTIVE,308036043,1789430400,310-260,roaming
310260100000165,350000005037334,iot-low-power,ACTIVE,137525427,1788739200,310-260,roaming
310260100000166,350000000105169,dev-basic,ACTIVE,11984729128,1789171200,310-260,roaming|volte
310260100000167,350000007215201,iot-low-power,ACTIVE,18612393,1789430400,310-260,roaming|tethering|volte
310410100000051,351111119201093,iot-low-power,ACTIVE,413343059,1788134400,310-410,roaming|volte
310260100000168,350000005901075,dev-basic,ACTIVE,7712835871,1789862400,310-260,tethering
310260100000169,350000001582408,iot-low-power,ACTIVE,37917883,1790121600,310-260,roaming|volte
234150100000022,352222222353447,dev-pro,ACTIVE,110346697011,1789257600,234-15,roaming|tethering|volte
262010100000011,353333336223969,dev-basic,ACTIVE,13619773600,1789257600,262-01,tethering
310260100000170,350000005737842,mvno-prepaid,ACTIVE,3767382107,1790121600,310-260,roaming
310260100000171,350000009565298,dev-pro,ACTIVE,123738544947,1788048000,310-260,roaming|volte
208010100000016,354444440306522,dev-basic,ACTIVE,3414524579,1790294400,208-01,roaming
310260100000172,350000000527487,dev-basic,ACTIVE,10327920891,1789257600,310-260,roaming|tethering
234150100000023,352222225136765,dev-basic,ACTIVE,11436104389,1787961600,234-15,roaming|tethering|volte
310260100000173,350000007816990,dev-pro,ACTIVE,133976909412,1790121600,310-260,roaming|tethering
310260100000174,350000004024861,dev-pro,ACTIVE,23085224035,1790035200,310-260,roaming|volte
234150100000024,352222227320938,enterprise-fixed,ACTIVE,357166987746,1789171200,234-15,roaming|volte
310260100000175,350000002227722,iot-low-power,ACTIVE,5516048,1789516800,310-260,roaming|volte
310260100000176,350000009430204,dev-pro,ACTIVE,23761069050,1788220800,310-260,volte
262010100000012,353333337463648,iot-low-power,ACTIVE,240709062,1789603200,262-01,
310260100000177,350000001802681,iot-low-power,ACTIVE,53200213,1789516800,310-260,roaming|tethering
262010100000013,353333335104780,dev-basic,ACTIVE,18639468375,1789516800,262-01,roaming|tethering
310410100000052,351111113805105,iot-low-power,ACTIVE,474679589,1788912000,310-410,roaming|tethering
310260100000178,350000009888914,dev-pro,ACTIVE,142163659249,1788307200,310-260,roaming|volte
234150100000025,352222224610422,dev-basic,ACTIVE,16575434601,1790294400,234-15,roaming|tethering
310260100000179,350000005949819,enterprise-fixed,ACTIVE,339414796712,1788307200,310-260,roaming
262010100000014,353333336414808,dev-basic,ACTIVE,276669860,1789689600,262-01,roaming|tethering|volte
310260100000180,350000008632271,dev-basic,ACTIVE,6511703644,1789516800,310-260,roaming|tethering
310260100000181,350000005857764,mvno-prepaid,ACTIVE,1221108542,1790121600,310-260,roaming
310260100000182,350000005347808,dev-basic,ACTIVE,3049789603,1788480000,310-260,roaming|volte
310260100000183,350000001068283,dev-basic,ACTIVE,4710117110,1790380800,310-260,roaming
234150100000026,352222226206484,iot-low-power,ACTIVE,328572061,1788307200,234-15,roaming|tethering
310260100000184,350000003038326,dev-basic,ACTIVE,6095693883,1788393600,310-260,roaming
310260100000185,350000008126605,iot-low-power,ACTIVE,233735350,1789862400,310-260,
310260100000186,350000003570302,iot-low-power,ACTIVE,225072234,1788825600,310-260,roaming|volte
310260100000187,350000008444875,dev-basic,ACTIVE,13407933397,1787875200,310-260,roaming
310260100000188,350000005377904,dev-basic,ACTIVE,11756404008,1788912000,310-260,roaming
310410100000053,351111112581087,dev-pro,ACTIVE,55320965770,1790121600,310-410,roaming|tethering
262010100000015,353333332147253,dev-basic,ACTIVE,2211752008,1789171200,262-01,
